route_id,agency_id,route_short_name,route_long_name,route_type,route_color
L478D10,10,478,"Brandýs n.L.-St.Boleslav,Nádr. - Brandýs n.L.-St.Boleslav,Žel.st.",3,
L479D18,18,479,"Neratovice,železniční stanice/Neratovice,Lobkovice,Obchodní akademie SOVA - Neratovice,Korycany",3,
L480D13,13,480,"Kostomlaty nad Labem - Lysá nad Labem",3,
L482D18,18,482,"Úvaly - Vyšehořovice - Nehvizdy",3,
L483D13,13,483,"Nymburk - Kamenné Zboží",3,
L484D18,18,484,"Úvaly - Horoušany - Úvaly",3,
L485D12,12,485,"Rabyně,Měřín - Netvořice - Týnec nad Sázavou",3,
L486D21,21,486,"Osečany - Křepenice -Sedlčany",3,
L488D17,17,488,"Mníšek p.Brdy,náměstí - Nový Knín",3,
L488D21,21,488,"Nový Knín - Mníšek pod Brdy",3,
L489D18,18,489,"Strančice - Mnichovice - Struhařov - Klokočná - Mukařov",3,
L490D18,18,490,"Stříbrná Skalice - Ondřejov - Strančice",3,
L491D11,11,491,"Mukařov - Doubravčice - Český Brod",3,
L491D13,13,491,"Český Brod - Doubravčice - Mukařov",3,
L492D11,11,492,"Kostelec n.Č.l. - Jevany - Černé Voděrady",3,
L493D13,13,493,"Nymburk - Poděbrady",3,
L494D18,18,494,"Říčany - Tehov - Strančice",3,
L495D18,18,495,"Strančice - Mnichovice - Zvánovice - Černé Voděrady",3,
L496D10,10,496,"Ledčice - Nová Ves - Kralupy nad Vltavou",3,
L497D13,13,497,"Nymburk - Kostomlaty nad Labem - Milovice",3,
L498D13,13,498,"Pečky - Poděbrady",3,
L499D13,13,499,"Nymburk - Seletice",3,
L49D1,1,LD,"Petřín LD - Újezd LD",7,
L4D1,1,4,"Sídliště Barrandov - Čechovo náměstí",0,
L593D34,34,593,"Slaný. - Velvary",3,
L593D67,67,593,"Slaný - Velvary",3,
L5D1,1,5,"Sídliště Barrandov - Ústřední dílny DP",0,
L601D8,8,601,"Kladno,Okrsek 0 - Kladno,Rozdělov",3,
L602D8,8,602,"Kladno,Nám. Svobody - Kladno,Hnidousy",3,
L603D8,8,603,"Kladno,OAZA - Kladno,Hřbitovy",3,
L604D8,8,604,"Dřetovice - Kladno,U Zvonečku",3,
L605D8,8,605,"Kladno,Okrsek 0 - Kladno,Aquapark",3,
L606D8,8,606,"Kladno,OAZA - Kladno,Energie",3,
L607D8,8,607,"Kladno,Autobusové nádraží - Třebichovice,U Kapličky/Smečno",3,
L608D67,67,608,"Slaný - Třebichovice - Smečno - Kladno",3,
L609D8,8,609,"Kladno,OAZA - Slaný,Arbesova",3,
L610D8,8,610,"Kladno,Tržnice - Kladno,Zádušní",3,
L611D8,8,611,"Kladno,Okrsek 0 - Kladno,Průmyslová",3,
L612D8,8,612,"Kladno - Knovíz - Slaný",3,
L613D8,8,613,"Kladno,OAZA - Kladno,Sokolovna",3,
L614D8,8,614,"Malé Přítočno - Kladno,Dříň",3,
L616D8,8,616,"Kladno,Nám. Svobody - Kladno,Masokombinát",3,
L617D34,34,617,"Kladno - Libušín - Smečno - Slaný - Mělník",3,
L617D67,67,617,"Mělník - Slaný - Smečno - Libušín - Kladno",3,
L617D8,8,617,"Mělník - Slaný - Smečno - Libušín - Kladno",3,
L620D24,24,620,"Kladno - Kralupy nad Vltavou",3,
L621D67,67,621,"Kladno - Třebusice - Velvary",3,
L622D67,67,622,"Slaný/Slatina - Zvoleněves - Knovíz - Kladno",3,
L623D8,8,623,"Velvary - Třebusice - Kladno",3,
L624D8,8,624,"Okoř - Kladno",3,
L626D8,8,626,"Kladno - Jeneč",3,
L651D18,18,651,"Nespeky - Pyšely - Senohraby - Hrusice",3,
L652D11,11,652,"Oleška,Krymlov - Kostelec n.Č.l.",3,
L653D18,18,653,"Kaliště,Poddubí - Ondřejov",3,
L654D11,11,654,"Stříbrná Skalice - Oplany -  Kostelec n.Č.l",3,
L655D10,10,655,"Úvaly - Čelákovice - Brandýs n.L.-St.Boleslav",3,
