stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
U4569Z2,"Křečovice,Hořetice,Rozc.",49.706879,14.534789,0,,2
U4568Z2,"Maršovice,Řehovice,Rozc.",49.71895,14.535908,0,,2
U4567Z2,"Maršovice,Vráce",49.727215,14.536536,0,,2
U4543Z2,"Neveklov,Zavadilka",49.739915,14.535597,0,,2
U4542Z2,"Křečovice,Lhotka,U Švarců",49.744436,14.470316,0,,2
U4459Z2,"Neveklov,Nebřich",49.769653,14.428216,0,,2
U4543Z1,"Neveklov,Zavadilka",49.739923,14.535333,0,,2
U4544Z1,"Maršovice,Záhoří",49.733879,14.543783,0,,2
U4545Z1,"Maršovice,Mstětice",49.727704,14.546684,0,,2
U4546Z1,"Maršovice,Zderadice,Rozc.",49.724696,14.552135,0,,2
U4547Z2,"Maršovice",49.714127,14.56528,0,,2
U4565Z2,"Maršovice,Libeč",49.725898,14.587726,0,,2
U4564Z2,"Maršovice,Zahrádka",49.730721,14.589058,0,,2
U4563Z2,"Maršovice,Dlouhá Lhota",49.739028,14.596493,0,,2
U4562Z2,"Bystřice,Mlýny,Rozc.",49.73896,14.607994,0,,2
U4561Z2,"Bystřice,Tvoršovice,Rozc.II",49.738314,14.624633,0,,2
U4559Z2,"Bystřice,Nesvačily,Rest.",49.73427,14.63393,0,,2
U4558Z2,"Bystřice,Nesvačily,Nad Rybníkem",49.731916,14.64295,0,,2
U4557Z2,"Bystřice,Nám.",49.732106,14.667431,0,,2
U4556Z2,"Bystřice,Škola",49.737785,14.666518,0,,2
U4555Z2,"Bystřice,Žel.st.",49.7405,14.666277,0,,2
U4525Z2,"Bystřice,Líšno,Rozc.",49.742026,14.674924,0,,2
U4567Z1,"Maršovice,Vráce",49.727178,14.536245,0,,2
U4568Z1,"Maršovice,Řehovice,Rozc.",49.71912,14.535767,0,,2
U4569Z1,"Křečovice,Hořetice,Rozc.",49.706842,14.534554,0,,2
U4552Z1,"Křečovice,Hořetice",49.707061,14.517555,0,,2
U4553Z1,"Křečovice,Strážovice",49.718944,14.508284,0,,2
U4566Z1,"Neveklov,Zádolí",49.733496,14.509455,0,,2
U4551Z2,"Křečovice,Hodětice",49.69977,14.524239,0,,2
U4550Z2,"Vrchotovy Janovice,Sedlečko,Rozc.",49.692699,14.525416,0,,2
U4549Z2,"Vrchotovy Janovice,Šebáňovice,Rozc.",49.694531,14.542918,0,,2
U4548Z2,"Maršovice,Strnadice",49.699581,14.551298,0,,2
U4547Z1,"Maršovice",49.71428,14.565292,0,,2
U4546Z2,"Maršovice,Zderadice,Rozc.",49.724813,14.552259,0,,2
U4545Z2,"Maršovice,Mstětice",49.727678,14.546837,0,,2
U4544Z2,"Maršovice,Záhoří",49.733924,14.543935,0,,2
U4476Z2,"Chleby",49.827128,14.556888,0,,2
U4458Z1,"Neveklov,Blažim",49.762089,14.453607,0,,2
U4476Z1,"Chleby",49.827039,14.557139,0,,2
U4494Z2,"Chářovice,I",49.826813,14.580865,0,,2
U4493Z2,"Chářovice,II",49.819854,14.57841,0,,2
U4494Z1,"Chářovice,I",49.82666,14.580964,0,,2
U4480Z2,"Netvořice,Maskovice",49.824445,14.500643,0,,2
U4500Z1,"Chlístov,Racek,Osada",49.804036,14.662354,0,,2
U4554Z1,"Bystřice,Jírovice,Rozc.",49.754841,14.672882,0,,2
U4525Z1,"Bystřice,Líšno,Rozc.",49.74198,14.674675,0,,2
U4555Z1,"Bystřice,Žel.st.",49.740662,14.666207,0,,2
U4556Z1,"Bystřice,Škola",49.737686,14.666352,0,,2
U4557Z1,"Bystřice,Nám.",49.732258,14.667221,0,,2
U4558Z1,"Bystřice,Nesvačily,Nad Rybníkem",49.732096,14.64299,0,,2
U4559Z1,"Bystřice,Nesvačily,Rest.",49.73445,14.633943,0,,2
U4561Z1,"Bystřice,Tvoršovice,Rozc.II",49.738458,14.62477,0,,2
U4562Z1,"Bystřice,Mlýny,Rozc.",49.739112,14.607951,0,,2
U4563Z1,"Maršovice,Dlouhá Lhota",49.739108,14.596312,0,,2
U4564Z1,"Maršovice,Zahrádka",49.730739,14.588878,0,,2
U4565Z1,"Maršovice,Libeč",49.725833,14.587269,0,,2
U4461Z1,"Rabyně,Měřín,Zotavovna",49.790617,14.418665,0,,2
U4461Z2,"Rabyně,Měřín,Zotavovna",49.790437,14.418667,0,,2
U4560Z2,"Bystřice,Tvoršovice",49.749592,14.631539,0,,2
U4560Z1,"Bystřice,Tvoršovice",49.749754,14.631399,0,,2
U4548Z1,"Maršovice,Strnadice",49.699778,14.551199,0,,2
U4549Z1,"Vrchotovy Janovice,Šebáňovice,Rozc.",49.694638,14.542654,0,,2
U4550Z1,"Vrchotovy Janovice,Sedlečko,Rozc.",49.692878,14.52529,0,,2
U4551Z1,"Křečovice,Hodětice",49.69968,14.524406,0,,2
U2522Z3,"Rabyně,Nová Rabyně",49.809474,14.430165,0,,0
U4927Z1,"Neveklov,Dalešice",49.790141,14.479289,0,,2
U4410Z1,"Zákolany,Trněný Újezd",50.199088,14.26023,0,,2
U4410Z2,"Zákolany,Trněný Újezd",50.19888,14.259953,0,,2
U1691Z3,"Tursko",50.191136,14.320965,0,,0
U1914Z1,"Libčice n.Vlt.,Chýnov",50.194483,14.353133,0,,2
U1916Z1,"Libčice n.Vlt.,Náměstí Svobody",50.197684,14.364181,0,,2
U2825Z1,"Libčice n.Vlt.,Žel.st.",50.199701,14.362478,0,,2
U2824Z1,"Libčice n.Vlt.,Žel.zast.Letky",50.18891,14.371318,0,,2
U4906Z1,"Libčice n.Vlt.,Letecká",50.191416,14.37157,0,,2
U1916Z2,"Libčice n.Vlt.,Náměstí Svobody",50.197783,14.364102,0,,2
U1914Z2,"Libčice n.Vlt.,Chýnov",50.19462,14.353176,0,,2
U2284Z1,"Dolany nad Vltavou,Debrno",50.21708,14.323965,0,,0
U2285Z1,"Kralupy n.Vlt.,Barvy Laky",50.237639,14.307289,0,,0
U2236Z5,"Kralupy n.Vlt.,Žel.st.",50.239279,14.312699,0,,0
U4228Z1,"Kralupy n.Vlt.,Lobeč",50.245559,14.301529,0,,0
U4227Z1,"Kralupy n.Vlt.,U Čejků",50.246709,14.314909,0,,0
U4235Z1,"Kralupy n.Vlt.,U Železničních domů",50.248699,14.310549,0,,0
U4236Z1,"Kralupy n.Vlt.,Revoluční",50.251689,14.311219,0,,0
U4237Z1,"Kralupy n.Vlt.,Koupaliště",50.253849,14.308309,0,,0
U4238Z1,"Kralupy n.Vlt.,U Parku",50.252229,14.308789,0,,0
U4239Z1,"Kralupy n.Vlt.,Masarykova",50.250099,14.313159,0,,0
U4248Z1,"Kralupy n.Vlt.,Tesco",50.252419,14.318879,0,,0
U4239Z2,"Kralupy n.Vlt.,Masarykova",50.250159,14.313269,0,,0
U4236Z2,"Kralupy n.Vlt.,Revoluční",50.251189,14.311019,0,,0
U4235Z2,"Kralupy n.Vlt.,U Železničních domů",50.248589,14.310529,0,,0
U4227Z2,"Kralupy n.Vlt.,U Čejků",50.246589,14.314819,0,,0
U4228Z2,"Kralupy n.Vlt.,Lobeč",50.245749,14.301379,0,,0
U4241Z2,"Nelahozeves,Lešany,Rozc.",50.256859,14.296569,0,,0
U4242Z1,"Nelahozeves,Lešany",50.256179,14.285299,0,,2
U4243Z2,"Nelahozeves",50.261729,14.301199,0,,0
U4244Z2,"Nelahozeves,U Nadjezdu",50.267219,14.302949,0,,0
U4245Z2,"Nelahozeves,Tukové záv.",50.275879,14.309569,0,,0
U4246Z2,"Nelahozeves,U Kaštanu",50.281189,14.314879,0,,0
U4229Z1,"Kralupy n.Vlt.,V Luhu",50.244539,14.307229,0,,0
U4230Z1,"Kralupy n.Vlt.,U Cukrovaru",50.242499,14.309399,0,,2
U4224Z3,"Kralupy n.Vlt.,ÚNZ",50.238959,14.306479,0,,0
U2285Z2,"Kralupy n.Vlt.,Barvy Laky",50.237569,14.307256,0,,0
U2444Z1,"Kralupy n.Vlt.,Hřbitov",50.232959,14.310919,0,,0
U4219Z2,"Kralupy n.Vlt.,Mikovice",50.230689,14.290259,0,,0
U4213Z1,"Kralupy n.Vlt.,Zeměchy",50.229919,14.267269,0,,0
U4214Z1,"Kralupy n.Vlt.,Mikovice,Rozc.0.5",50.232909,14.280699,0,,0
U4215Z1,"Kralupy n.Vlt.,Růžové údolí",50.234329,14.285979,0,,0
U4216Z1,"Kralupy n.Vlt.,Lidové nám.",50.236839,14.290829,0,,0
U4217Z1,"Kralupy n.Vlt.,ČSAD",50.241239,14.297479,0,,0
U4218Z1,"Kralupy n.Vlt.,OSP",50.240939,14.303979,0,,0
U4219Z1,"Kralupy n.Vlt.,Mikovice",50.230699,14.290059,0,,0
U4218Z2,"Kralupy n.Vlt.,OSP",50.241209,14.303069,0,,0
U4217Z2,"Kralupy n.Vlt.,ČSAD",50.241079,14.296469,0,,0
U4216Z2,"Kralupy n.Vlt.,Lidové nám.",50.236799,14.290499,0,,0
U4215Z2,"Kralupy n.Vlt.,Růžové údolí",50.23433,14.285979,0,,0
U4214Z2,"Kralupy n.Vlt.,Mikovice,Rozc.0.5",50.232939,14.280279,0,,0
U4231Z1,"Kralupy n.Vlt.,Třebízského-věžáky",50.245969,14.316349,0,,0
U4232Z1,"Kralupy n.Vlt.,Třebízského-škola",50.244039,14.320059,0,,0
U4233Z1,"Kralupy n.Vlt.,Dýhárna",50.240779,14.328289,0,,0
U4234Z1,"Kralupy n.Vlt.,HELP-Trans",50.247109,14.326279,0,,0
U2284Z2,"Dolany nad Vltavou,Debrno",50.217145,14.323884,0,,0
U4246Z1,"Nelahozeves,U Kaštanu",50.280899,14.314769,0,,0
U4245Z1,"Nelahozeves,Tukové záv.",50.275909,14.309489,0,,0
U4244Z1,"Nelahozeves,U Nadjezdu",50.267129,14.302819,0,,0
U4243Z1,"Nelahozeves",50.261219,14.300299,0,,0
U4241Z1,"Nelahozeves,Lešany,Rozc.",50.256819,14.296979,0,,0
U4361Z1,"Nová Ves,Staré Ouholice",50.290033,14.321882,0,,2
U4234Z2,"Kralupy n.Vlt.,HELP-Trans",50.247089,14.326199,0,,0
U4233Z2,"Kralupy n.Vlt.,Dýhárna",50.240779,14.328289,0,,0
U4232Z2,"Kralupy n.Vlt.,Třebízského-škola",50.244149,14.320019,0,,0
